paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614361_CD-2,Colonocytes,UC_vs_HC,PDCD4,5.9871,-1.8747,6.1804e-06
GSM6614362_CD-3,Colonocytes,UC_vs_HC,PDCD4,5.3778,-1.8747,6.1804e-06
GSM6614363_CD-4,Colonocytes,UC_vs_HC,PDCD4,6.5489,-1.8747,6.1804e-06
GSM6614364_CD-5,Colonocytes,UC_vs_HC,PDCD4,6.0976,-1.8747,6.1804e-06
GSM6614365_CD-6,Colonocytes,UC_vs_HC,PDCD4,5.981,-1.8747,6.1804e-06
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ABLIM1,2.3537,1.4306,0.040378
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ABLIM1,3.0041,1.4306,0.040378
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ABLIM1,3.541,1.4306,0.040378
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ABLIM1,3.7014,1.4306,0.040378
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ABLIM1,3.5357,1.4306,0.040378
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ABLIM1,3.546,1.4306,0.040378
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ABLIM1,5.2725,1.4306,0.040378
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ABLIM1,5.6649,1.4306,0.040378
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ABLIM1,5.3381,1.4306,0.040378
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ABLIM1,0,1.4306,0.040378
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ABLIM1,4.1747,1.4306,0.040378
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ABLIM1,4.8203,1.4306,0.040378
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ABLIM1,2.9206,1.4306,0.040378
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ABLIM1,4.704,1.4306,0.040378
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ABLIM1,4.873,1.4306,0.040378
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ABLIM1,4.4764,1.4306,0.040378
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ABLIM1,3.9346,1.4306,0.040378
GSM6614348_HC-1,Colonocytes,UC_vs_HC,BAG3,2.8414,2.0889,0.0088471
GSM6614349_HC-2,Colonocytes,UC_vs_HC,BAG3,1.0569,2.0889,0.0088471
GSM6614350_HC-3,Colonocytes,UC_vs_HC,BAG3,2.4751,2.0889,0.0088471
GSM6614351_HC-4,Colonocytes,UC_vs_HC,BAG3,2.5914,2.0889,0.0088471
GSM6614352_HC-5,Colonocytes,UC_vs_HC,BAG3,0.82816,2.0889,0.0088471
GSM6614353_HC-6,Colonocytes,UC_vs_HC,BAG3,1.8436,2.0889,0.0088471
GSM6614355_UC-2,Colonocytes,UC_vs_HC,BAG3,3.2763,2.0889,0.0088471
GSM6614356_UC-3,Colonocytes,UC_vs_HC,BAG3,4.1357,2.0889,0.0088471
GSM6614357_UC-4,Colonocytes,UC_vs_HC,BAG3,2.9213,2.0889,0.0088471
GSM6614358_UC-5,Colonocytes,UC_vs_HC,BAG3,4.1567,2.0889,0.0088471
GSM6614359_UC-6,Colonocytes,UC_vs_HC,BAG3,4.1747,2.0889,0.0088471
GSM6614360_CD-1,Colonocytes,UC_vs_HC,BAG3,2.2122,2.0889,0.0088471
GSM6614361_CD-2,Colonocytes,UC_vs_HC,BAG3,2.0995,2.0889,0.0088471
GSM6614362_CD-3,Colonocytes,UC_vs_HC,BAG3,3.2257,2.0889,0.0088471
GSM6614363_CD-4,Colonocytes,UC_vs_HC,BAG3,3.3228,2.0889,0.0088471
GSM6614364_CD-5,Colonocytes,UC_vs_HC,BAG3,2.491,2.0889,0.0088471
GSM6614365_CD-6,Colonocytes,UC_vs_HC,BAG3,2.8465,2.0889,0.0088471
GSM6614348_HC-1,Colonocytes,UC_vs_HC,DMBT1,6.3429,2.9687,0.0094482
GSM6614349_HC-2,Colonocytes,UC_vs_HC,DMBT1,4.4639,2.9687,0.0094482
GSM6614350_HC-3,Colonocytes,UC_vs_HC,DMBT1,2.1848,2.9687,0.0094482
GSM6614351_HC-4,Colonocytes,UC_vs_HC,DMBT1,5.3748,2.9687,0.0094482
GSM6614352_HC-5,Colonocytes,UC_vs_HC,DMBT1,3.2524,2.9687,0.0094482
GSM6614353_HC-6,Colonocytes,UC_vs_HC,DMBT1,5.873,2.9687,0.0094482
GSM6614355_UC-2,Colonocytes,UC_vs_HC,DMBT1,8.7026,2.9687,0.0094482
GSM6614356_UC-3,Colonocytes,UC_vs_HC,DMBT1,7.5823,2.9687,0.0094482
GSM6614357_UC-4,Colonocytes,UC_vs_HC,DMBT1,8.5023,2.9687,0.0094482
GSM6614358_UC-5,Colonocytes,UC_vs_HC,DMBT1,8.5148,2.9687,0.0094482
GSM6614359_UC-6,Colonocytes,UC_vs_HC,DMBT1,5.5192,2.9687,0.0094482
GSM6614360_CD-1,Colonocytes,UC_vs_HC,DMBT1,5.1506,2.9687,0.0094482
GSM6614361_CD-2,Colonocytes,UC_vs_HC,DMBT1,7.6541,2.9687,0.0094482
GSM6614362_CD-3,Colonocytes,UC_vs_HC,DMBT1,9.0262,2.9687,0.0094482
GSM6614363_CD-4,Colonocytes,UC_vs_HC,DMBT1,6.6632,2.9687,0.0094482
GSM6614364_CD-5,Colonocytes,UC_vs_HC,DMBT1,5.0597,2.9687,0.0094482
GSM6614365_CD-6,Colonocytes,UC_vs_HC,DMBT1,6.8849,2.9687,0.0094482
GSM6614348_HC-1,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614349_HC-2,Colonocytes,UC_vs_HC,BNIP3,0.62313,4.8075,0.00073309
GSM6614350_HC-3,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614351_HC-4,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614352_HC-5,Colonocytes,UC_vs_HC,BNIP3,0.33168,4.8075,0.00073309
GSM6614353_HC-6,Colonocytes,UC_vs_HC,BNIP3,0.72009,4.8075,0.00073309
GSM6614355_UC-2,Colonocytes,UC_vs_HC,BNIP3,3.8108,4.8075,0.00073309
GSM6614356_UC-3,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614357_UC-4,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614358_UC-5,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614359_UC-6,Colonocytes,UC_vs_HC,BNIP3,4.3187,4.8075,0.00073309
GSM6614360_CD-1,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614361_CD-2,Colonocytes,UC_vs_HC,BNIP3,2.0995,4.8075,0.00073309
GSM6614362_CD-3,Colonocytes,UC_vs_HC,BNIP3,1.4804,4.8075,0.00073309
GSM6614363_CD-4,Colonocytes,UC_vs_HC,BNIP3,0,4.8075,0.00073309
GSM6614364_CD-5,Colonocytes,UC_vs_HC,BNIP3,1.5103,4.8075,0.00073309
GSM6614365_CD-6,Colonocytes,UC_vs_HC,BNIP3,1.4154,4.8075,0.00073309
GSM6614348_HC-1,Colonocytes,UC_vs_HC,PRAP1,7.1583,-2.0554,0.045062
GSM6614349_HC-2,Colonocytes,UC_vs_HC,PRAP1,7.4009,-2.0554,0.045062
GSM6614350_HC-3,Colonocytes,UC_vs_HC,PRAP1,6.03,-2.0554,0.045062
GSM6614351_HC-4,Colonocytes,UC_vs_HC,PRAP1,6.1742,-2.0554,0.045062
GSM6614352_HC-5,Colonocytes,UC_vs_HC,PRAP1,7.6662,-2.0554,0.045062
GSM6614353_HC-6,Colonocytes,UC_vs_HC,PRAP1,7.4628,-2.0554,0.045062
GSM6614355_UC-2,Colonocytes,UC_vs_HC,PRAP1,4.3093,-2.0554,0.045062
GSM6614356_UC-3,Colonocytes,UC_vs_HC,PRAP1,3.2156,-2.0554,0.045062
GSM6614357_UC-4,Colonocytes,UC_vs_HC,PRAP1,6.8173,-2.0554,0.045062
